,Unnamed: 0,SourceName,TargetName
0,0,aabhaa,आभा
1,1,aabheer,आभीर
2,2,aabhijaat,आभिजात
3,3,aabid,आबिद
4,4,aabshar,आबशर
5,5,aachaaryanandan,आचार्यनंदन
6,6,aachaaryanandanaa,आचार्यनंदना
7,7,aachaaryasut,आचार्यसुत
8,8,aachaaryasuta,आचार्यसुता
9,9,aachaaryasutaa,आचार्यसुता
10,10,aachaarynandan,आचार्यनंदन
11,11,aachaarysuta,आचार्यसुता
12,12,aachaarysutaa,आचार्यसुता
13,13,aacharya,आचार्य
14,14,aacharyanandana,आचार्यनंदना
15,15,aacharyanandanaa,आचार्यनंदना
16,16,aacharyasuta,आचार्यसुता
17,17,aacharyasutaa,आचार्यसुता
18,18,aacharynandana,आचार्यनंदना
19,19,aacharysut,आचार्यसुत
20,20,aachrekar,आचरेकर
21,21,aachwal,आचवल
22,22,aada,आडा
23,23,aadarsh,आदर्श
24,24,aadarsha,आदर्श
25,25,aadat se majboor,आदत से मजबूर
26,26,aadesh,आदेश
27,27,aadha din aadhi raat,आधा दिन आधी रात
28,28,aadhi raat,आधी रात
29,29,aadhi yug,आधी युग
30,30,aadhunik,आधुनिक
31,31,aadikavi,आदिकवि
32,32,aadinaaraayan,आदिनारायण
33,33,aadinaraayan,आदिनारायण
34,34,aadinath,आदिनाथ
35,35,aadishvar,आदिश्वर
36,36,aaditya,आदित्य
37,37,aadityakeshav,आदित्यकेशव
38,38,aadityanandan,आदित्यनंदन
39,39,aadityavardhan,आदित्यवर्धन
40,40,aaditykeshav,आदित्यकेशव
41,41,aadmi,आदमी
42,42,aadmi khilona hai,आदमी खिलौना है
43,43,aadmi sadak ka,आदमी सड़क का
44,44,aafiya,आफिया
45,45,aafreen,आफरीन
46,46,aag,आग
47,47,aag aandhi aur toofan,आग आँधी और तूफान
48,48,aag aur daag,आग और दाग
49,49,aag ka gola,आग का गोला
50,50,aag ke sholay,आग के शोले
51,51,aag se khelenge,आग से खेलेंगे
52,52,aagale,आगले
53,53,aage badho,आगे बढ़ो
54,54,aage ki soch,आगे की सोच
55,55,aage mode hai,आगे मोड़ है
56,56,aagney,आग्नेय
57,57,aah,आह
58,58,aahat,आहट
59,59,aahi,आही
60,60,aahlaadit,आह्लादित
61,61,aahlad,आह्लाद
62,62,aahuti,आहुती
63,63,aahwaanit,आह्वानित
64,64,aahwanit,आह्वानित
65,65,aaj,आज
66,66,aaj ka arjun,आज का अर्जुन
67,67,aaj ka daur,आज का दौर
68,68,aaj ka gundaraj,आज का गुंडाराज
69,69,aaj ka hindustan,आज का हिंदुस्तान
70,70,aaj ka robinhood,आज का रॉबिनहुड
71,71,aaj ka yeh ghar,आज का यह घर
72,72,aaj ke angaarey,आज के अँगारे
73,73,aaj ke shahanshah,आज के शहँशाह
74,74,aaj ki aurat,आज की औरत
75,75,aaj ki awaaz,आज की आवाज़
76,76,aaj ki dhara,आज की धारा
77,77,aaj ki duniya,आज की दुनिया
78,78,aaj ki taaqat,आज की ताक़त
79,79,aaja re o sajna,आजा रे ओ सजना
80,80,aakaankshaa,आकांक्षा
81,81,aakaasha,आकाश
82,82,aakar,आकार
83,83,aakarshan,आकर्षण
84,84,aakash deep,आकाश दीप
85,85,aakhri adalat,आखिरी अदालत
86,86,aakhri cheekh,आखिरी चीख
87,87,aakhri goli,आखिरी गोली
88,88,aakhri insaaf,आखिरी इंसाफ
89,89,aakhri kasam,आखिरी कसम
90,90,aakhri khat,आखिरी खत
91,91,aakhri muqabla,आखिरी मुकाबला
92,92,aakhri nishchay,आखिरी निश्चय
93,93,aakhwe,आखवे
94,94,aakifah,आकीफाह
95,95,aakrosh,आक्रोश
96,96,aalaap,आलाप
97,97,aalap,आलाप
98,98,aalim,आलिम
99,99,aalingan,आलिंगन
100,100,aaliyah,आलियाह
101,101,aamer malik,आमेर मलिक
102,102,aamer nazir,आमेर नाज़िर
103,103,aamer sohail,आमेर सोहेल
104,104,aaminah,आमिनाह
105,105,aamirah,आमिराह
106,106,aamne samne,आमने सामने
107,107,aamod,आमोद
108,108,aan aur shaan,आन और शान
109,109,aan baan,आन बान
110,110,aan milo sajna,आन मिलो सजना
111,111,aanand,आनंद
112,112,aanandamayee,आनंदमयी
113,113,aanandamayi,आनंदमयी
114,114,aanandi,आनंदी
115,115,aanandmayi,आनंदमयी
116,116,aanchal,आँचल
117,117,aanchal ke phool,आँचल के फूल
118,118,aandhi toofan,आँधी तूफान
119,119,aandhiyan,आँधियाँ
120,120,aangan ki kali,आँगन की कली
121,121,aanisah,आनिसाह
122,122,aankhen,आँखें
123,123,aankhon annkhon mein,आँखों आँखों में
124,124,aankhon mein tum ho,आँखों में तुम हो
125,125,aansoo aur muskan,आँसू और मुस्कान
126,126,aansoo bane angaarey,आँसू बने अंगारे
127,127,aap ka pyar,आप का प्यार
128,128,aap ki khatir,आप की खातिर
129,129,aap ki maarzi,आप की मर्ज़ी
130,130,aaqib javed,आकिब जावेद
131,131,aaqil,आकिल
132,132,aar paar,आर पार
133,133,aarambh,आरंभ
134,134,aarati,आरती
135,135,aarti,आरती
136,136,aarti industrie,आरती इंडस्ट्री
137,137,aas,आस
138,138,aasami,असमी
139,139,aashiq,आशिक
140,140,aashiq hoon baharon ka,आशिक हूँ बहारों का
141,141,aashiqui,आशिकी
142,142,aashutosh,आशुतोष
143,143,aasimah,आसिमाह
144,144,aasman mahal,आसमान महल
145,145,aasra,आसरा
146,146,aastha,आस्था
147,147,aathalekar,आठलेकर
148,148,aatik,आतिक
149,149,aatikah,आतिकाह
150,150,aatiqah,आतिकाह
151,151,aatirah,आतिराह
152,152,aatish,आतिश
153,153,aatmaja,आत्मजा
154,154,aatmajaa,आत्मजा
155,155,aavishkaar,आविष्कार
156,156,aayi yaad teri,आई याद तेरी
157,157,aayush,आयुष
158,158,aayushmaan,आयुष्मान
159,159,aayushmati,आयुष्मति
160,160,aazadi ki ore,आज़ादी की ओर
161,161,aazim,आज़िम
162,162,ab insaf hoga,अब इंसाफ होगा
163,163,ab meri baari,अब मेरी बारी
164,164,ab to jeene do,अब तो जीने दो
165,165,ababu,अबाबु
166,166,abahim,अबहीम
167,167,aban loydchiles,अबान लॉयडचिलीज़
168,168,abanur,अबनूर
169,169,abaraar,अबरार
170,170,abasah,अबसाह
171,171,abazila,अबाजिला
172,172,abbaas,अब्बास
173,173,abbad,अब्बाद
174,174,abbasi,अब्बासी
175,175,abbott india,एबॉट इंडिया
176,176,abdah,अब्दाह
177,177,abdiya,अब्दिया
178,178,abdnaan,अब्दनान
179,179,abdul,अब्दुल
180,180,abdul afuw,अब्दुल अफुव
181,181,abdul ahad,अब्दुल अहद
182,182,abdul alee,अब्दुल अली
183,183,abdul aleem,अब्दुल अलीम
184,184,abdul azeez,अब्दुल अज़ीज़
185,185,abdul azim,अब्दुल अज़ीम
186,186,abdul baaqi,अब्दुल बाक़ी
187,187,abdul baaree,अब्दुल बारी
188,188,abdul baari,अब्दुल बारी
189,189,abdul baseer,अब्दुल बसीर
190,190,abdul basir,अब्दुल बसीर
191,191,abdul basit,अब्दुल बासित
